Season,Rank,Player,Points,Wins,Losses,ELO,Status,ArchivedAt
JUNE_2026,1,Sean,25,0,0,1105,ACTIVE,6/1/2026 11:15:39
JUNE_2026,2,Richard,25,0,0,1087,ACTIVE,6/1/2026 11:15:39
JUNE_2026,3,Cavan,25,0,0,985,ACTIVE,6/1/2026 11:15:39
JUNE_2026,4,Kyle,25,0,0,955,ACTIVE,6/1/2026 11:15:39
JUNE_2026,5,Graeme,25,0,0,1004,ACTIVE,6/1/2026 11:15:39
JUNE_2026,6,Ryan,25,0,0,955,ELIMINATED,6/1/2026 11:15:39
JUNE_2026,7,Robert,25,0,0,1001,ACTIVE,6/1/2026 11:15:39
JUNE_2026,8,Ronald Augustine,25,0,0,983,ACTIVE,6/1/2026 11:15:39
JUNE_2026,9,Cameron,25,0,0,955,ELIMINATED,6/1/2026 11:15:39
JUNE_2026,10,Jamie,25,0,0,970,ELIMINATED,6/1/2026 11:15:39